10:48:48,16,0T0020003,
10:48:49,0,0T0020005,
10:48:50,16,0T0020006,
10:48:51,15,0T0020007,
10:48:54,16,0T0020008,
10:48:54,0,0T0020009,
10:48:55,15,0T0020010,
10:48:56,16,0T0020011,
23:57:18,0,0T0020012,
23:57:19,0,0T0020023,
23:57:21,16,0T0020024,
23:57:22,0,0T0020025,
23:57:22,0,0T0020026,
23:57:22,16,0T0020027,
23:57:23,16,0T0020028,
23:57:23,16,0T0020029,
23:57:24,16,0T0020030,
23:57:24,0,0T0020031,
23:57:24,16,0T0020032,
23:57:25,15,0T0020033,
23:57:25,15,0T0020034,
23:57:26,0,0T0020035,
23:58:23,16,0T0020036,
23:58:25,0,0T0020037,
23:58:26,15,0T0020038,
23:58:29,0,0T0020039,
23:58:29,16,0T0020040,
23:58:29,16,0T0020041,
